date,factor,factor_dollars,normalized_abs_exposure_pct,trial
2026-07-01,country_HK,-16081.789306868663,0.11464049054200831,profile_high
2026-07-01,country_JP,51671.33993179174,0.36834382317230324,profile_high
2026-07-01,country_US,129668.61380010485,0.9243544490162653,profile_high
2026-07-01,sector_financials,133652.75070124416,0.9527557294967929,profile_high
2026-07-01,sector_it,-98063.20007632108,0.699052396866498,profile_high
2026-07-01,sector_healthcare,129668.61380010485,0.9243544490162653,profile_high
2026-07-01,industry_banks,133652.75070124416,0.9527557294967929,profile_high
2026-07-01,industry_software,-98063.20007632108,0.699052396866498,profile_high
2026-07-01,industry_biotech,129668.61380010485,0.9243544490162653,profile_high
2026-07-02,country_HK,307626.1841533511,0.8049511961035364,profile_high
2026-07-02,country_JP,-90135.17371082041,0.23585253670525222,profile_high
2026-07-02,country_US,739567.7229079496,1.9351926260527903,profile_high
2026-07-02,sector_financials,833286.799999646,2.180422996836424,profile_high
2026-07-02,sector_it,-615795.7895571144,1.6113243374381372,profile_high
2026-07-02,sector_healthcare,739567.7229079496,1.9351926260527903,profile_high
2026-07-02,industry_banks,833286.799999646,2.180422996836424,profile_high
2026-07-02,industry_software,-615795.7895571144,1.6113243374381372,profile_high
2026-07-02,industry_biotech,739567.7229079496,1.9351926260527903,profile_high
2026-07-03,country_HK,2782097.220979302,3.0569062835672933,profile_high
2026-07-03,country_JP,-2091554.6154344415,2.298153493031107,profile_high
2026-07-03,country_US,4315370.57783587,4.741632799828757,profile_high
2026-07-03,sector_financials,4882469.563033911,5.36474849764981,profile_high
2026-07-03,sector_it,-4191926.957489049,4.605995707113621,profile_high
2026-07-03,sector_healthcare,4315370.57783587,4.741632799828757,profile_high
2026-07-03,industry_banks,4882469.563033911,5.36474849764981,profile_high
2026-07-03,industry_software,-4191926.957489049,4.605995707113621,profile_high
2026-07-03,industry_biotech,4315370.57783587,4.741632799828757,profile_high
2026-07-06,country_HK,4187708.4337136005,2.780323621198285,profile_high
2026-07-06,country_JP,-3565534.748201029,2.3672470611416445,profile_high
2026-07-06,country_US,7525599.038801942,4.996432082711498,profile_high
2026-07-06,sector_financials,8238552.437274479,5.469779548506524,profile_high
2026-07-06,sector_it,-7616378.751761908,5.056702988449882,profile_high
2026-07-06,sector_healthcare,7525599.038801942,4.996432082711498,profile_high
2026-07-06,industry_banks,8238552.437274479,5.469779548506524,profile_high
2026-07-06,industry_software,-7616378.751761908,5.056702988449882,profile_high
2026-07-06,industry_biotech,7525599.038801942,4.996432082711498,profile_high
2026-07-07,country_HK,5674476.229489525,2.6883001390647365,profile_high
2026-07-07,country_JP,-4888404.69434871,2.315896390811836,profile_high
2026-07-07,country_US,10471016.09428601,4.96067529125071,profile_high
2026-07-07,sector_financials,11417294.789488086,5.40897766225819,profile_high
2026-07-07,sector_it,-10631223.254347276,5.036573914005292,profile_high
2026-07-07,sector_healthcare,10471016.09428601,4.96067529125071,profile_high
2026-07-07,industry_banks,11417294.789488086,5.40897766225819,profile_high
2026-07-07,industry_software,-10631223.254347276,5.036573914005292,profile_high
2026-07-07,industry_biotech,10471016.09428601,4.96067529125071,profile_high
2026-07-08,country_HK,7095426.8402818795,2.611502903652418,profile_high
2026-07-08,country_JP,-6292116.533123987,2.3158410291945013,profile_high
2026-07-08,country_US,13319245.073195692,4.9022064445282725,profile_high
2026-07-08,sector_financials,14492537.325729465,5.334041793309504,profile_high
2026-07-08,sector_it,-13689227.018571567,5.038379918851586,profile_high
2026-07-08,sector_healthcare,13319245.073195692,4.9022064445282725,profile_high
2026-07-08,industry_banks,14492537.325729465,5.334041793309504,profile_high
2026-07-08,industry_software,-13689227.018571567,5.038379918851586,profile_high
2026-07-08,industry_biotech,13319245.073195692,4.9022064445282725,profile_high
2026-07-09,country_HK,8096700.556966291,2.446253457214847,profile_high
2026-07-09,country_JP,-8504591.480050512,2.5694894066909373,profile_high
2026-07-09,country_US,16258080.620560698,4.912048512341927,profile_high
2026-07-09,sector_financials,17575154.184575114,5.3099755119522145,profile_high
2026-07-09,sector_it,-17983045.107659336,5.4332114614283045,profile_high
2026-07-09,sector_healthcare,16258080.620560698,4.912048512341927,profile_high
2026-07-09,industry_banks,17575154.184575114,5.3099755119522145,profile_high
2026-07-09,industry_software,-17983045.107659336,5.4332114614283045,profile_high
2026-07-09,industry_biotech,16258080.620560698,4.912048512341927,profile_high
2026-07-10,country_HK,6726170.3107311325,1.7689915708299127,profile_high
2026-07-10,country_JP,-16199999.999999898,4.260621144505235,profile_high
2026-07-10,country_US,20207575.87487484,5.314618830350997,profile_high
2026-07-10,sector_financials,21246170.310730964,5.587770522571621,profile_high
2026-07-10,sector_it,-30719999.999999736,8.079400096246946,profile_high
2026-07-10,sector_healthcare,20207575.87487484,5.314618830350997,profile_high
2026-07-10,industry_banks,21246170.310730964,5.587770522571621,profile_high
2026-07-10,industry_software,-30719999.999999736,8.079400096246946,profile_high
2026-07-10,industry_biotech,20207575.87487484,5.314618830350997,profile_high
2026-07-13,country_HK,6299999.999997857,1.5086206932813062,profile_high
2026-07-13,country_JP,-24300000.000000134,5.818965531229908,profile_high
2026-07-13,country_US,30239998.975424994,7.241379082404313,profile_high
2026-07-13,sector_financials,28079999.999997657,6.724137947198407,profile_high
2026-07-13,sector_it,-46079999.999999925,11.034482785147004,profile_high
2026-07-13,sector_healthcare,30239998.975424994,7.241379082404313,profile_high
